ID,name,acronym
40,Right_Agranular_insular_area_dorsal_part_layer_2/3,AId2/3
41,Left_Agranular_insular_area_dorsal_part_layer_5,AId5
42,Right_Agranular_insular_area_dorsal_part_layer_5,AId5
43,Left_Agranular_insular_area_dorsal_part_layer_6a,AId6a
44,Right_Agranular_insular_area_dorsal_part_layer_6a,AId6a
45,Left_Agranular_insular_area_dorsal_part_layer_6b,AId6b
46,Right_Agranular_insular_area_dorsal_part_layer_6b,AId6b
47,Left_Agranular_insular_area_posterior_part_layer_1,AIp1
48,Right_Agranular_insular_area_posterior_part_layer_1,AIp1
49,Left_Agranular_insular_area_posterior_part_layer_2/3,AIp2/3
50,Right_Agranular_insular_area_posterior_part_layer_2/3,AIp2/3
51,Left_Agranular_insular_area_posterior_part_layer_5,AIp5
52,Right_Agranular_insular_area_posterior_part_layer_5,AIp5
53,Left_Agranular_insular_area_posterior_part_layer_6a,AIp6a
54,Right_Agranular_insular_area_posterior_part_layer_6a,AIp6a
55,Left_Agranular_insular_area_posterior_part_layer_6b,AIp6b
56,Right_Agranular_insular_area_posterior_part_layer_6b,AIp6b
57,Left_Agranular_insular_area_ventral_part_layer_1,AIv1
58,Right_Agranular_insular_area_ventral_part_layer_1,AIv1
59,Left_Agranular_insular_area_ventral_part_layer_2/3,AIv2/3
60,Right_Agranular_insular_area_ventral_part_layer_2/3,AIv2/3
61,Left_Agranular_insular_area_ventral_part_layer_5,AIv5
62,Right_Agranular_insular_area_ventral_part_layer_5,AIv5
63,Left_Agranular_insular_area_ventral_part_layer_6a,AIv6a
64,Right_Agranular_insular_area_ventral_part_layer_6a,AIv6a
65,Left_Agranular_insular_area_ventral_part_layer_6b,AIv6b
66,Right_Agranular_insular_area_ventral_part_layer_6b,AIv6b
67,Left_alveus,alv
68,Right_alveus,alv
69,Left_Anteromedial_nucleus,AM
70,Right_Anteromedial_nucleus,AM
71,Left_Nucleus_ambiguus_dorsal_division,AMBd
72,Right_Nucleus_ambiguus_dorsal_division,AMBd
73,Left_Nucleus_ambiguus_ventral_division,AMBv
74,Right_Nucleus_ambiguus_ventral_division,AMBv
75,Left_amygdalar_capsule,amc
76,Right_amygdalar_capsule,amc
77,Left_Ansiform_lobule,AN
78,Right_Ansiform_lobule,AN
79,Left_Accessory_olfactory_bulb_glomerular_layer,AOBgl
80,Right_Accessory_olfactory_bulb_glomerular_layer,AOBgl
81,Left_Accessory_olfactory_bulb_granular_layer,AOBgr
82,Right_Accessory_olfactory_bulb_granular_layer,AOBgr
83,Left_Accessory_olfactory_bulb_mitral_layer,AOBmi
84,Right_Accessory_olfactory_bulb_mitral_layer,AOBmi
85,Left_Anterior_olfactory_nucleus,AON
86,Right_Anterior_olfactory_nucleus,AON
87,Left_Area_postrema,AP
88,Right_Area_postrema,AP
89,Left_Anterior_pretectal_nucleus,APN
90,Right_Anterior_pretectal_nucleus,APN
91,Left_cerebral_aqueduct,AQ
92,Right_cerebral_aqueduct,AQ
93,Left_arbor_vitae,arb
94,Right_arbor_vitae,arb
95,Left_Arcuate_hypothalamic_nucleus,ARH
96,Right_Arcuate_hypothalamic_nucleus,ARH
97,Left_Accessory_supraoptic_group,ASO
98,Right_Accessory_supraoptic_group,ASO
99,Left_Anterior_tegmental_nucleus,AT
100,Right_Anterior_tegmental_nucleus,AT
101,Left_Dorsal_auditory_area_layer_1,AUDd1
102,Right_Dorsal_auditory_area_layer_1,AUDd1
103,Left_Dorsal_auditory_area_layer_2/3,AUDd2/3
104,Right_Dorsal_auditory_area_layer_2/3,AUDd2/3
105,Left_Dorsal_auditory_area_layer_4,AUDd4
106,Right_Dorsal_auditory_area_layer_4,AUDd4
107,Left_Dorsal_auditory_area_layer_5,AUDd5
108,Right_Dorsal_auditory_area_layer_5,AUDd5
109,Left_Dorsal_auditory_area_layer_6a,AUDd6a
110,Right_Dorsal_auditory_area_layer_6a,AUDd6a
111,Left_Dorsal_auditory_area_layer_6b,AUDd6b
112,Right_Dorsal_auditory_area_layer_6b,AUDd6b
113,Left_Primary_auditory_area_layer_1,AUDp1
114,Right_Primary_auditory_area_layer_1,AUDp1
115,Left_Primary_auditory_area_layer_2/3,AUDp2/3
116,Right_Primary_auditory_area_layer_2/3,AUDp2/3
117,Left_Primary_auditory_area_layer_4,AUDp4
118,Right_Primary_auditory_area_layer_4,AUDp4
119,Left_Primary_auditory_area_layer_5,AUDp5
120,Right_Primary_auditory_area_layer_5,AUDp5
121,Left_Primary_auditory_area_layer_6a,AUDp6a
122,Right_Primary_auditory_area_layer_6a,AUDp6a
123,Left_Primary_auditory_area_layer_6b,AUDp6b
124,Right_Primary_auditory_area_layer_6b,AUDp6b
125,Left_Posterior_auditory_area_layer_1,AUDpo1
126,Right_Posterior_auditory_area_layer_1,AUDpo1
127,Left_Posterior_auditory_area_layer_2/3,AUDpo2/3
128,Right_Posterior_auditory_area_layer_2/3,AUDpo2/3
129,Left_Posterior_auditory_area_layer_4,AUDpo4
130,Right_Posterior_auditory_area_layer_4,AUDpo4
131,Left_Posterior_auditory_area_layer_5,AUDpo5
132,Right_Posterior_auditory_area_layer_5,AUDpo5
133,Left_Posterior_auditory_area_layer_6a,AUDpo6a
134,Right_Posterior_auditory_area_layer_6a,AUDpo6a
135,Left_Posterior_auditory_area_layer_6b,AUDpo6b
136,Right_Posterior_auditory_area_layer_6b,AUDpo6b
137,Left_Ventral_auditory_area_layer_1,AUDv1
138,Right_Ventral_auditory_area_layer_1,AUDv1
139,Left_Ventral_auditory_area_layer_2/3,AUDv2/3
140,Right_Ventral_auditory_area_layer_2/3,AUDv2/3
141,Left_Ventral_auditory_area_layer_4,AUDv4
142,Right_Ventral_auditory_area_layer_4,AUDv4
143,Left_Ventral_auditory_area_layer_5,AUDv5
144,Right_Ventral_auditory_area_layer_5,AUDv5
145,Left_Ventral_auditory_area_layer_6a,AUDv6a
146,Right_Ventral_auditory_area_layer_6a,AUDv6a
147,Left_Ventral_auditory_area_layer_6b,AUDv6b
148,Right_Ventral_auditory_area_layer_6b,AUDv6b
149,Left_Anteroventral_nucleus_of_thalamus,AV
150,Right_Anteroventral_nucleus_of_thalamus,AV
151,Left_Anteroventral_preoptic_nucleus,AVP
152,Right_Anteroventral_preoptic_nucleus,AVP
153,Left_Anteroventral_periventricular_nucleus,AVPV
154,Right_Anteroventral_periventricular_nucleus,AVPV
155,Left_Barrington's_nucleus,B
156,Right_Barrington's_nucleus,B
157,Left_Bed_nucleus_of_the_accessory_olfactory_tract,BA
158,Right_Bed_nucleus_of_the_accessory_olfactory_tract,BA
159,Left_Bed_nucleus_of_the_anterior_commissure,BAC
160,Right_Bed_nucleus_of_the_anterior_commissure,BAC
161,Left_brachium_of_the_inferior_colliculus,bic
162,Right_brachium_of_the_inferior_colliculus,bic
163,Left_Basolateral_amygdalar_nucleus_anterior_part,BLAa
164,Right_Basolateral_amygdalar_nucleus_anterior_part,BLAa
165,Left_Basolateral_amygdalar_nucleus_posterior_part,BLAp
166,Right_Basolateral_amygdalar_nucleus_posterior_part,BLAp
167,Left_Basolateral_amygdalar_nucleus_ventral_part,BLAv
168,Right_Basolateral_amygdalar_nucleus_ventral_part,BLAv
169,Left_Basomedial_amygdalar_nucleus,BMA
170,Right_Basomedial_amygdalar_nucleus,BMA
171,Left_Bed_nuclei_of_the_stria_terminalis,BST
172,Right_Bed_nuclei_of_the_stria_terminalis,BST
173,Left_central_canal_spinal_cord/medulla,c
174,Right_central_canal_spinal_cord/medulla,c
175,Left_Field_CA1,CA1
176,Right_Field_CA1,CA1
177,Left_Field_CA2,CA2
178,Right_Field_CA2,CA2
179,Left_Field_CA3,CA3
180,Right_Field_CA3,CA3
181,Left_corpus_callosum,cc
182,Right_corpus_callosum,cc
183,Left_Central_amygdalar_nucleus,CEA
184,Right_Central_amygdalar_nucleus,CEA
185,Left_Central_lobule,CENT
186,Right_Central_lobule,CENT
187,Left_inferior_colliculus_commissure,cic
188,Right_inferior_colliculus_commissure,cic
189,Left_cingulum_bundle,cing
190,Right_cingulum_bundle,cing
191,Left_Central_lateral_nucleus_of_the_thalamus,CL
192,Right_Central_lateral_nucleus_of_the_thalamus,CL
193,Left_Claustrum,CLA
194,Right_Claustrum,CLA
195,Left_Central_linear_nucleus_raph,CLI
196,Right_Central_linear_nucleus_raph,CLI
197,Left_Central_medial_nucleus_of_the_thalamus,CM
198,Right_Central_medial_nucleus_of_the_thalamus,CM
199,Left_Cortical_amygdalar_area_anterior_part,COAa
200,Right_Cortical_amygdalar_area_anterior_part,COAa
201,Left_Cortical_amygdalar_area_posterior_part,COAp
202,Right_Cortical_amygdalar_area_posterior_part,COAp
203,Left_Copula_pyramidis,COPY
204,Right_Copula_pyramidis,COPY
205,Left_Caudoputamen,CP
206,Right_Caudoputamen,CP
207,Left_cerebal_peduncle,cpd
208,Right_cerebal_peduncle,cpd
209,Left_Superior_central_nucleus_raph,CS
210,Right_Superior_central_nucleus_raph,CS
211,Left_corticospinal_tract,cst
212,Right_corticospinal_tract,cst
213,Left_Cortical_subplate,CTXsp
214,Right_Cortical_subplate,CTXsp
215,Left_Cuneate_nucleus,CU
216,Right_Cuneate_nucleus,CU
217,Left_cuneate_fascicle,cuf
218,Right_cuneate_fascicle,cuf
219,Left_Culmen,CUL
220,Right_Culmen,CUL
221,Left_Cuneiform_nucleus,CUN
222,Right_Cuneiform_nucleus,CUN
223,Left_Dorsal_cochlear_nucleus,DCO
224,Right_Dorsal_cochlear_nucleus,DCO
225,Left_Declive_(VI),DEC
226,Right_Declive_(VI),DEC
227,Left_dorsal_fornix,df
228,Right_dorsal_fornix,df
229,Left_Dentate_gyrus_molecular_layer,DG-mo
230,Right_Dentate_gyrus_molecular_layer,DG-mo
231,Left_Dentate_gyrus_polymorph_layer,DG-po
232,Right_Dentate_gyrus_polymorph_layer,DG-po
233,Left_Dentate_gyrus_granule_cell_layer,DG-sg
234,Right_Dentate_gyrus_granule_cell_layer,DG-sg
235,Left_dorsal_hippocampal_commissure,dhc
236,Right_dorsal_hippocampal_commissure,dhc
237,Left_Dorsomedial_nucleus_of_the_hypothalamus,DMH
238,Right_Dorsomedial_nucleus_of_the_hypothalamus,DMH
239,Left_Dorsal_motor_nucleus_of_the_vagus_nerve,DMX
240,Right_Dorsal_motor_nucleus_of_the_vagus_nerve,DMX
241,Left_Dentate_nucleus,DN
242,Right_Dentate_nucleus,DN
243,Left_Dorsal_peduncular_area,DP
244,Right_Dorsal_peduncular_area,DP
245,Left_Dorsal_nucleus_raph,DR
246,Right_Dorsal_nucleus_raph,DR
247,Left_doral_tegmental_decussation,dtd
248,Right_doral_tegmental_decussation,dtd
249,Left_Dorsal_tegmental_nucleus,DTN
250,Right_Dorsal_tegmental_nucleus,DTN
251,Left_Ectorhinal_area/Layer_1,ECT1
252,Right_Ectorhinal_area/Layer_1,ECT1
253,Left_Ectorhinal_area/Layer_2/3,ECT2/3
254,Right_Ectorhinal_area/Layer_2/3,ECT2/3
255,Left_Ectorhinal_area/Layer_5,ECT5
256,Right_Ectorhinal_area/Layer_5,ECT5
257,Left_Ectorhinal_area/Layer_6a,ECT6a
258,Right_Ectorhinal_area/Layer_6a,ECT6a
259,Left_Ectorhinal_area/Layer_6b,ECT6b
260,Right_Ectorhinal_area/Layer_6b,ECT6b
261,Left_External_cuneate_nucleus,ECU
262,Right_External_cuneate_nucleus,ECU
263,Left_external_medullary_lamina_of_the_thalamus,em
264,Right_external_medullary_lamina_of_the_thalamus,em
265,Left_Entorhinal_area_lateral_part,ENTl
266,Right_Entorhinal_area_lateral_part,ENTl
267,Left_Entorhinal_area_medial_part_dorsal_zone,ENTm
268,Right_Entorhinal_area_medial_part_dorsal_zone,ENTm
269,Left_Entorhinal_area_medial_part_ventral_zone,ENTmv
270,Right_Entorhinal_area_medial_part_ventral_zone,ENTmv
271,Left_Endopiriform_nucleus_dorsal_part,EPd
272,Right_Endopiriform_nucleus_dorsal_part,EPd
273,Left_Endopiriform_nucleus_ventral_part,EPv
274,Right_Endopiriform_nucleus_ventral_part,EPv
275,Left_Edinger-Westphal_nucleus,EW
276,Right_Edinger-Westphal_nucleus,EW
277,Left_Fasciola_cinerea,FC
278,Right_Fasciola_cinerea,FC
279,Left_Fields_of_Forel,FF
280,Right_Fields_of_Forel,FF
281,Left_fimbria,fi
282,Right_fimbria,fi
283,Left_fiber_tracts,fiber_tracts
284,Right_fiber_tracts,fiber_tracts
285,Left_Flocculus,FL
286,Right_Flocculus,FL
287,Left_Fastigial_nucleus,FN
288,Right_Fastigial_nucleus,FN
289,Left_Folium-tuber_vermis_(VII),FOTU
290,Right_Folium-tuber_vermis_(VII),FOTU
291,Left_fasciculus_retroflexus,fr
292,Right_fasciculus_retroflexus,fr
293,Left_Frontal_pole_layers_5-6a,FRP_5-6A
294,Right_Frontal_pole_layers_5-6a,FRP_5-6A
295,Left_Frontal_pole_layers_5-6b,FRP_6b
296,Right_Frontal_pole_layers_5-6b,FRP_6b
297,Left_Frontal_pole_layer_1,FRP1
298,Right_Frontal_pole_layer_1,FRP1
299,Left_Frontal_pole_layer_2/3,FRP2/3
300,Right_Frontal_pole_layer_2/3,FRP2/3
301,Left_Fundus_of_striatum,FS
302,Right_Fundus_of_striatum,FS
303,Left_columns_of_the_fornix,fx
304,Right_columns_of_the_fornix,fx
305,Left_Globus_pallidus_external_segment,GPe
306,Right_Globus_pallidus_external_segment,GPe
307,Left_Globus_pallidus_internal_segment,GPi
308,Right_Globus_pallidus_internal_segment,GPi
309,Left_Gracile_nucleus,GR
310,Right_Gracile_nucleus,GR
311,Left_Basic_cell_groups_and_regions,grey
312,Right_Basic_cell_groups_and_regions,grey
313,Left_gracile_fascicle,grf
314,Right_gracile_fascicle,grf
315,Left_Gigantocellular_reticular_nucleus,GRN
316,Right_Gigantocellular_reticular_nucleus,GRN
317,Left_Gustatory_areas_layer_1,GU1
318,Right_Gustatory_areas_layer_1,GU1
319,Left_Gustatory_areas_layer_2/3,GU2/3
320,Right_Gustatory_areas_layer_2/3,GU2/3
321,Left_Gustatory_areas_layer_4,GU4
322,Right_Gustatory_areas_layer_4,GU4
323,Left_Gustatory_areas_layer_5,GU5
324,Right_Gustatory_areas_layer_5,GU5
325,Left_Gustatory_areas_layer_6a,GU6a
326,Right_Gustatory_areas_layer_6a,GU6a
327,Left_Gustatory_areas_layer_6b,GU6b
328,Right_Gustatory_areas_layer_6b,GU6b
329,Left_habenular_commissure,hbc
330,Right_habenular_commissure,hbc
331,Left_Hippocampal_formation,HPF
332,Right_Hippocampal_formation,HPF
333,Left_Hypothalamus,HY
334,Right_Hypothalamus,HY
335,Left_Intercalated_amygdalar_nucleus,IA
336,Right_Intercalated_amygdalar_nucleus,IA
337,Left_Interanterodorsal_nucleus_of_the_thalamus,IAD
338,Right_Interanterodorsal_nucleus_of_the_thalamus,IAD
339,Left_Interanteromedial_nucleus_of_the_thalamus,IAM
340,Right_Interanteromedial_nucleus_of_the_thalamus,IAM
341,Left_Inferior_colliculus,IC
342,Right_Inferior_colliculus,IC
343,Left_Infracerebellar_nucleus,ICB
344,Right_Infracerebellar_nucleus,ICB
345,Left_inferior_cerebellar_peduncle,icp
346,Right_inferior_cerebellar_peduncle,icp
347,Left_Interfascicular_nucleus_raph,IF
348,Right_Interfascicular_nucleus_raph,IF
349,Left_Induseum_griseum,IG
350,Right_Induseum_griseum,IG
351,Left_Intergeniculate_leaflet_of_the_lateral_geniculate_complex,IGL
352,Right_Intergeniculate_leaflet_of_the_lateral_geniculate_complex,IGL
353,Left_Oculomotor_nucleus,III
354,Right_Oculomotor_nucleus,III
355,Left_optic_nerve,IIn
356,Right_optic_nerve,IIn
357,Left_Infralimbic_area_layer_1,ILA1
358,Right_Infralimbic_area_layer_1,ILA1
359,Left_Infralimbic_area_layer_2/3,ILA2/3
360,Right_Infralimbic_area_layer_2/3,ILA2/3
361,Left_Infralimbic_area_layer_5,ILA5
362,Right_Infralimbic_area_layer_5,ILA5
363,Left_Infralimbic_area_layer_6a,ILA6a
364,Right_Infralimbic_area_layer_6a,ILA6a
365,Left_Infralimbic_area_layer_6b,ILA6b
366,Right_Infralimbic_area_layer_6b,ILA6b
367,Left_internal_medullary_lamina_of_the_thalamus,im
368,Right_internal_medullary_lamina_of_the_thalamus,im
369,Left_Intermediodorsal_nucleus_of_the_thalamus,IMD
370,Right_Intermediodorsal_nucleus_of_the_thalamus,IMD
371,Left_Interstitial_nucleus_of_Cajal,INC
372,Right_Interstitial_nucleus_of_Cajal,INC
373,Left_internal_capsule,int
374,Right_internal_capsule,int
375,Left_Inferior_olivary_complex,IO
376,Right_Inferior_olivary_complex,IO
377,Left_Interposed_nucleus,IP
378,Right_Interposed_nucleus,IP
379,Left_Interpeduncular_nucleus,IPN
380,Right_Interpeduncular_nucleus,IPN
381,Left_Intermediate_reticular_nucleus,IRN
382,Right_Intermediate_reticular_nucleus,IRN
383,Left_Inferior_salivatory_nucleus,ISN
384,Right_Inferior_salivatory_nucleus,ISN
385,Left_Trochlear_nucleus,IV
386,Right_Trochlear_nucleus,IV
387,Left_trochlear_nerve,IVn
388,Right_trochlear_nerve,IVn
389,Left_Lateral_amygdalar_nucleus,LA
390,Right_Lateral_amygdalar_nucleus,LA
391,Left_Lateral_vestibular_nucleus,LAV
392,Right_Lateral_vestibular_nucleus,LAV
393,Left_Locus_ceruleus,LC
394,Right_Locus_ceruleus,LC
395,Left_Lateral_dorsal_nucleus_of_thalamus,LD
396,Right_Lateral_dorsal_nucleus_of_thalamus,LD
397,Left_Laterodorsal_tegmental_nucleus,LDT
398,Right_Laterodorsal_tegmental_nucleus,LDT
399,Left_Dorsal_part_of_the_lateral_geniculate_complex,LGd
400,Right_Dorsal_part_of_the_lateral_geniculate_complex,LGd
401,Left_Ventral_part_of_the_lateral_geniculate_complex,LGv
402,Right_Ventral_part_of_the_lateral_geniculate_complex,LGv
403,Left_Lateral_habenula,LH
404,Right_Lateral_habenula,LH
405,Left_Lateral_hypothalamic_area,LHA
406,Right_Lateral_hypothalamic_area,LHA
407,Left_Linear_nucleus_of_the_medulla,LIN
408,Right_Linear_nucleus_of_the_medulla,LIN
409,Left_Lingula_(I),LING
410,Right_Lingula_(I),LING
411,Left_lateral_lemniscus,ll
412,Right_lateral_lemniscus,ll
413,Left_Lateral_mammillary_nucleus,LM
414,Right_Lateral_mammillary_nucleus,LM
415,Left_lateral_olfactory_tract_body,lot
416,Right_lateral_olfactory_tract_body,lot
417,Left_Lateral_posterior_nucleus_of_the_thalamus,LP
418,Right_Lateral_posterior_nucleus_of_the_thalamus,LP
419,Left_Lateral_preoptic_area,LPO
420,Right_Lateral_preoptic_area,LPO
421,Left_Lateral_reticular_nucleus,LRN
422,Right_Lateral_reticular_nucleus,LRN
423,Left_Lateral_septal_nucleus_caudal_(caudodorsal)_part,LSc
424,Right_Lateral_septal_nucleus_caudal_(caudodorsal)_part,LSc
425,Left_Lateral_septal_nucleus_rostral_(rostroventral)_part,LSr
426,Right_Lateral_septal_nucleus_rostral_(rostroventral)_part,LSr
427,Left_Lateral_septal_nucleus_ventral_part,LSv
428,Right_Lateral_septal_nucleus_ventral_part,LSv
429,Left_Lateral_terminal_nucleus_of_the_accessory_optic_tract,LT
430,Right_Lateral_terminal_nucleus_of_the_accessory_optic_tract,LT
431,Left_Magnocellular_nucleus,MA
432,Right_Magnocellular_nucleus,MA
433,Left_Magnocellular_reticular_nucleus,MARN
434,Right_Magnocellular_reticular_nucleus,MARN
435,Left_Midbrain,MB
436,Right_Midbrain,MB
437,Left_middle_cerebellar_peduncle,mcp
438,Right_middle_cerebellar_peduncle,mcp
439,Left_Mediodorsal_nucleus_of_thalamus,MD
440,Right_Mediodorsal_nucleus_of_thalamus,MD
441,Left_Medullary_reticular_nucleus_dorsal_part,MDRNd
442,Right_Medullary_reticular_nucleus_dorsal_part,MDRNd
443,Left_Medullary_reticular_nucleus_ventral_part,MDRNv
444,Right_Medullary_reticular_nucleus_ventral_part,MDRNv
445,Left_Medial_amygdalar_nucleus,MEA
446,Right_Medial_amygdalar_nucleus,MEA
447,Left_Median_preoptic_nucleus,MEPO
448,Right_Median_preoptic_nucleus,MEPO
449,Left_Midbrain_trigeminal_nucleus,MEV
450,Right_Midbrain_trigeminal_nucleus,MEV
451,Left_Medial_geniculate_complex,MG
452,Right_Medial_geniculate_complex,MG
453,Left_Medial_habenula,MH
454,Right_Medial_habenula,MH
455,Left_medial_lemniscus,ml
456,Right_medial_lemniscus,ml
457,Left_medial_longitudinal_fascicle,mlf
458,Right_medial_longitudinal_fascicle,mlf
459,Left_Medial_mammillary_nucleus,MM
460,Right_Medial_mammillary_nucleus,MM
461,Left_Main_olfactory_bulb,MOB
462,Right_Main_olfactory_bulb,MOB
463,Left_Primary_motor_area_Layer_1,MOp1
464,Right_Primary_motor_area_Layer_1,MOp1
465,Left_Primary_motor_area_Layer_2/3,MOp2/3
466,Right_Primary_motor_area_Layer_2/3,MOp2/3
467,Left_Primary_motor_area_Layer_5,MOp5
468,Right_Primary_motor_area_Layer_5,MOp5
469,Left_Primary_motor_area_Layer_6a,MOp6a
470,Right_Primary_motor_area_Layer_6a,MOp6a
471,Left_Primary_motor_area_Layer_6b,MOp6b
472,Right_Primary_motor_area_Layer_6b,MOp6b
473,Left_Secondary_motor_area_layer_1,MOs1
474,Right_Secondary_motor_area_layer_1,MOs1
475,Left_Secondary_motor_area_layer_2/3,MOs2/3
476,Right_Secondary_motor_area_layer_2/3,MOs2/3
477,Left_Secondary_motor_area_layer_5,MOs5
478,Right_Secondary_motor_area_layer_5,MOs5
479,Left_Secondary_motor_area_layer_6a,MOs6a
480,Right_Secondary_motor_area_layer_6a,MOs6a
481,Left_Secondary_motor_area_layer_6b,MOs6b
482,Right_Secondary_motor_area_layer_6b,MOs6b
483,Left_motor_root_of_the_trigeminal_nerve,moV
484,Right_motor_root_of_the_trigeminal_nerve,moV
485,Left_mammillary_peduncle,mp
486,Right_mammillary_peduncle,mp
487,Left_Medial_preoptic_nucleus,MPN
488,Right_Medial_preoptic_nucleus,MPN
489,Left_Medial_preoptic_area,MPO
490,Right_Medial_preoptic_area,MPO
491,Left_Medial_pretectal_area,MPT
492,Right_Medial_pretectal_area,MPT
493,Left_Midbrain_reticular_nucleus,MRN
494,Right_Midbrain_reticular_nucleus,MRN
495,Left_Medial_septal_nucleus,MS
496,Right_Medial_septal_nucleus,MS
497,Left_mammillotegmental_tract,mtg
498,Right_mammillotegmental_tract,mtg
499,Left_mammilothalmic_tract,mtt
500,Right_mammilothalmic_tract,mtt
501,Left_midbrain_tract_of_the_trigeminal_nerve,mtV
502,Right_midbrain_tract_of_the_trigeminal_nerve,mtV
503,Left_Medial_vestibular_nucleus,MV
504,Right_Medial_vestibular_nucleus,MV
505,Left_Medulla,MY
506,Right_Medulla,MY
507,Left_Nucleus_of_the_brachium_of_the_inferior_colliculus,NB
508,Right_Nucleus_of_the_brachium_of_the_inferior_colliculus,NB
509,Left_Nucleus_of_Darkschewitsch,ND
510,Right_Nucleus_of_Darkschewitsch,ND
511,Left_Diagonal_band_nucleus,NDB
512,Right_Diagonal_band_nucleus,NDB
513,Left_Nucleus_incertus,NI
514,Right_Nucleus_incertus,NI
515,Left_Nucleus_of_the_lateral_lemniscus,NLL
516,Right_Nucleus_of_the_lateral_lemniscus,NLL
517,Left_Nucleus_of_the_lateral_olfactory_tract_molecular_layer,NLOT1
518,Right_Nucleus_of_the_lateral_olfactory_tract_molecular_layer,NLOT1
519,Left_Nucleus_of_the_lateral_olfactory_tract_layer_3,NLOT3
520,Right_Nucleus_of_the_lateral_olfactory_tract_layer_3,NLOT3
521,Left_Nodulus_(X),NOD
522,Right_Nodulus_(X),NOD
523,Left_Nucleus_of_the_optic_tract,NOT
524,Right_Nucleus_of_the_optic_tract,NOT
525,Left_Nucleus_of_the_posterior_commissure,NPC
526,Right_Nucleus_of_the_posterior_commissure,NPC
527,Left_Nucleus_of_Roller,NR
528,Right_Nucleus_of_Roller,NR
529,Left_Nucleus_of_the_trapezoid_body,NTB
530,Right_Nucleus_of_the_trapezoid_body,NTB
531,Left_Nucleus_of_the_solitary_tract,NTS
532,Right_Nucleus_of_the_solitary_tract,NTS
533,Left_optic_chiasm,och
534,Right_optic_chiasm,och
535,Left_Olfactory_areas,OLF
536,Right_Olfactory_areas,OLF
537,Left_olfactory_nerve_layer_of_main_olfactory_bulb,onl
538,Right_olfactory_nerve_layer_of_main_olfactory_bulb,onl
539,Left_Olivary_pretectal_nucleus,OP
540,Right_Olivary_pretectal_nucleus,OP
541,Left_optic_tract,opt
542,Right_optic_tract,opt
543,Left_Orbital_area_lateral_part_layer_1,ORBl1
544,Right_Orbital_area_lateral_part_layer_1,ORBl1
545,Left_Orbital_area_lateral_part_layer_2/3,ORBl2/3
546,Right_Orbital_area_lateral_part_layer_2/3,ORBl2/3
547,Left_Orbital_area_lateral_part_layer_5,ORBl5
548,Right_Orbital_area_lateral_part_layer_5,ORBl5
549,Left_Orbital_area_lateral_part_layer_6a,ORBl6a
550,Right_Orbital_area_lateral_part_layer_6a,ORBl6a
551,Left_Orbital_area_lateral_part_layer_6b,ORBl6b
552,Right_Orbital_area_lateral_part_layer_6b,ORBl6b
553,Left_Orbital_area_medial_part_layer_1,ORBm1
554,Right_Orbital_area_medial_part_layer_1,ORBm1
555,Left_Orbital_area_medial_part_layer_2/3,ORBm2/3
