id,name,red,green,blue,structure_order,parent_id,parent_acronym
81,Left_lateral_ventricle,VL,170,170,170,115900,73,VS
83,Left_Inferior_olivary_complex,IO,255,212,189,93500,370,MY-mot
84,Left_Prelimbic_area_layer_6a,PL6a,150,182,127,20600,972,PL
88,Left_Anterior_hypothalamic_nucleus,AHN,255,78,81,74100,467,MEZ_
91,Left_Interposed_nucleus,IP,240,240,82,63100,519,CBN
93,Left_motor_root_of_the_trigeminal_nerve,moV,204,204,204,99700,901,Vn
96,Left_Dorsal_cochlear_nucleus,DCO,255,155,205,90000,607,CN
97,Left_Temporal_association_areas_layer_1,TEa1,0,140,110,28100,541,TEa
100,Left_Interpeduncular_nucleus,IPN,255,158,247,84200,165,RAmb
101,Left_Ventral_cochlear_nucleus,VCO,255,155,205,90100,607,CN
105,Left_Superior_olivary_complex_medial_part,SOCm,255,170,94,86800,398,SOC
106,Left_Inferior_salivatory_nucleus,ISN,255,212,190,93700,370,MY-mot
113,Left_Primary_somatosensory_area_lower_limb_layer_2/3,SSp-ll2/3,0,183,155,5100,337,SSp-ll
114,Left_Superior_olivary_complex_lateral_part,SOCl,255,170,94,86900,398,SOC
115,Left_Trochlear_nucleus,IV,255,178,255,83000,323,MBmot
117,Left_optic_chiasm,och,204,204,204,98700,848,IIn
118,Left_Periventricular_hypothalamic_nucleus_intermediate_part,PVi,255,76,61,71700,157,PVZ
120,Left_Agranular_insular_area_posterior_part_layer_1,AIp1,0,154,82,24100,111,AIp
121,Left_Lateral_visual_area_layer_6b,VISl6b,107,192,203,16100,409,VISl
122,Left_Superior_olivary_complex_periolivary_region,POR,255,170,94,86700,398,SOC
125,Left_optic_tract,opt,204,204,204,98800,848,IIn
126,Left_Periventricular_hypothalamic_nucleus_posterior_part,PVp,255,77,92,73400,141,PVR
127,Left_Anteromedial_nucleus,AM,255,136,134,66400,239,ATN
128,Left_Midbrain_reticular_nucleus,MRN,255,132,255,80300,323,MBmot
129,Left_third_ventricle,V3,170,170,170,116500,73,VS
131,Left_Lateral_amygdalar_nucleus,LA,80,255,88,47000,703,CTXsp
132,Left_Prelimbic_area_layer_6b,PL6b,160,187,142,20700,972,PL
133,Left_Periventricular_hypothalamic_nucleus_preoptic_part,PVpo,255,77,93,73500,141,PVR
136,Left_Intermediate_reticular_nucleus,IRN,255,212,187,93600,370,MY-mot
140,Left_cerebral_aqueduct,AQ,170,170,170,116600,73,VS
143,Left_Nucleus_ambiguus_ventral_division,AMBv,255,212,212,93000,135,AMB
145,Left_fourth_ventricle,V4,170,170,170,116700,73,VS
146,Left_Pontine_reticular_nucleus,PRNr,255,172,120,89000,1117,P-sat
147,Left_Locus_ceruleus,LC,255,172,118,88700,1117,P-sat
148,Left_Gustatory_areas_layer_4,GU4,106,193,125,9400,1057,GU
149,Left_Paraventricular_nucleus_of_the_thalamus,PVT,255,133,133,68000,571,MTN
153,Left_lateral_recess,V4r,170,170,170,116800,145,V4
155,Left_Lateral_dorsal_nucleus_of_thalamus,LD,255,136,128,67000,239,ATN
156,Left_Dorsal_auditory_area_layer_6a,AUDd6a,113,190,176,11100,1011,AUDd
158,Left_posterior_commissure,pc,204,204,204,99200,832,IIIn
159,Left_Anterior_olfactory_nucleus,AON,144,255,184,31000,698,OLF
162,Left_Laterodorsal_tegmental_nucleus,LDT,255,172,117,88800,1117,P-sat
163,Left_Agranular_insular_area_posterior_part_layer_2/3,AIp2/3,20,160,94,24200,111,AIp
164,Left_central_canal_spinal_cord/medulla,c,170,170,170,116900,73,VS
169,Left_Nucleus_prepositus,PRP,255,212,219,95400,154,PHY
170,Left_Dorsal_part_of_the_lateral_geniculate_complex,LGd,255,112,161,65500,1008,GENd
171,Left_Prelimbic_area_layer_1,PL1,83,150,66,20200,972,PL
173,Left_Retrochiasmatic_area,RCH,255,79,84,77800,290,LZ
177,Left_Nucleus_of_Roller,NR,255,212,221,95300,154,PHY
178,Left_Ventral_part_of_the_lateral_geniculate_complex,LGv,255,135,135,69200,1014,GENv
180,Left_Gustatory_areas_layer_2/3,GU2/3,82,187,112,9300,1057,GU
181,Left_Nucleus_of_reunions,RE,255,133,132,68200,571,MTN
186,Left_Lateral_habenula,LH,255,135,144,69800,958,EPI
187,Left_Gustatory_areas_layer_5,GU5,127,200,138,9500,1057,GU
188,Left_Accessory_olfactory_bulb_glomerular_layer,AOBgl,140,235,156,30700,151,AOB
189,Left_Rhomboid_nucleus,RH,255,128,132,68400,51,ILM
190,Left_pyramid,py,204,204,204,107600,784,cst
194,Left_Lateral_hypothalamic_area,LHA,255,79,81,77300,290,LZ
196,Left_Accessory_olfactory_bulb_granular_layer,AOBgr,110,205,126,30800,151,AOB
197,Left_Rostral_linear_nucleus_raph,RL,255,158,249,84300,165,RAmb
201,Left_Primary_somatosensory_area_barrel_field_layer_2/3,SSp-bfd2/3,19,186,171,4400,329,SSp-bfd
202,Left_Medial_vestibular_nucleus,MV,255,216,201,96100,701,VNC
203,Left_Linear_nucleus_of_the_medulla,LIN,255,212,191,93800,370,MY-mot
204,Left_Accessory_olfactory_bulb_mitral_layer,AOBmi,130,225,146,30900,151,AOB
206,Left_Nucleus_raph_magnus,RM,255,176,193,96900,379,MY-sat
207,Left_Area_postrema,AP,255,176,178,89600,386,MY-sen
209,Left_Lateral_vestibular_nucleus,LAV,255,214,201,96000,701,VNC
210,Left_Lateral_mammillary_nucleus,LM,255,78,83,74700,331,MBO
211,Left_Anterior_cingulate_area_dorsal_part_layer_2/3,ACAd2/3,116,175,88,19100,39,ACAd
214,Left_Red_nucleus,RN,255,134,249,82700,323,MBmot
215,Left_Anterior_pretectal_nucleus,APN,255,176,249,82000,1100,PRT
217,Left_Superior_vestibular_nucleus,SUV,255,212,201,96300,701,VNC
218,Left_Lateral_posterior_nucleus_of_the_thalamus,LP,255,135,130,65800,138,LAT
222,Left_Nucleus_raph_obscurus,RO,255,176,194,97100,379,MY-sat
223,Left_Arcuate_hypothalamic_nucleus,ARH,255,76,79,71800,157,PVZ
225,Left_Spinal_vestibular_nucleus,SPIV,255,212,201,96200,701,VNC
226,Left_Lateral_preoptic_area,LPO,255,79,82,77400,290,LZ
230,Left_Nucleus_raph_pallidus,RPA,255,176,195,97000,379,MY-sat
231,Left_Anterior_tegmental_nucleus,AT,255,177,252,83200,323,MBmot
233,Left_Anterolateral_visual_area_layer_5,VISal5,16,179,202,14500,402,VISal
234,Left_Temporal_association_areas_layer_4,TEa4,56,151,133,28300,541,TEa
235,Left_Lateral_reticular_nucleus,LRN,255,212,193,93900,370,MY-mot
237,Left_solitary_tract,ts,204,204,204,101600,917,Xn
238,Left_Nucleus_raph_pontis,RPO,255,172,115,89100,1117,P-sat
243,Left_Dorsal_auditory_area_layer_6b,AUDd6b,137,198,186,11200,1011,AUDd
246,Left_Midbrain_reticular_nucleus_retrorubral_area,RR,255,178,249,80200,323,MBmot
249,Left_Posterior_auditory_area_layer_6a,AUDpo6a,111,191,185,12500,1027,AUDpo
250,Left_Lateral_septal_nucleus_caudal_(caudodorsal)_part,LSc,153,237,232,49500,242,LS
251,Left_Primary_auditory_area_layer_2/3,AUDp2/3,0,160,119,11500,1002,AUDp
252,Left_Dorsal_auditory_area_layer_5,AUDd5,91,185,168,11000,1011,AUDd
255,Left_Anteroventral_nucleus_of_thalamus,AV,255,136,133,66300,239,ATN
257,Left_posteromedial_visual_area_layer_6a,VISpm6a,93,188,201,18100,533,VISpm
258,Left_Lateral_septal_nucleus_rostral_(rostroventral)_part,LSr,153,237,233,49600,242,LS
260,Left_Nucleus_of_the_lateral_olfactory_tract_molecular_layer,NLOT1,160,255,170,34300,619,NLOT
262,Left_Reticular_nucleus_of_the_thalamus,RT,255,128,128,68900,856,DORpm
263,Left_Anteroventral_preoptic_nucleus,AVP,255,77,83,72200,141,PVR
266,Left_Lateral_septal_nucleus_ventral_part,LSv,153,237,234,49700,242,LS
269,Left_Posterolateral_visual_area_layer_2/3,VISpl2/3,0,181,214,17100,425,VISpl
271,Left_Nucleus_sagulum,SAG,255,152,251,79600,339,MBsen
272,Left_Anteroventral_periventricular_nucleus,AVPV,255,77,84,72300,141,PVR
274,Left_Retrosplenial_area_dorsal_part_layer_6a,RSPd6a,86,164,129,26400,879,RSPd
278,Left_Striatum-like_amygdalar_nuclei,sAMY,160,208,232,50000,477,STR
279,Left_Retrosplenial_area_lateral_agranular_part_layer_6b,RSPagl6b,83,165,142,25800,894,RSPagl
280,Left_Barrington's_nucleus,B,255,174,80,87100,987,P-mot
281,Left_Anteromedial_visual_area_layer_1,VISam1,0,141,139,14900,394,VISam
286,Left_Suprachiasmatic_nucleus,SCH,255,77,94,73700,141,PVR
287,Left_Bed_nucleus_of_the_anterior_commissure,BAC,160,190,152,54600,809,PALc
288,Left_Orbital_area_ventrolateral_part_layer_2/3,ORBvl2/3,51,146,87,22900,746,ORBvl
289,Left_Temporal_association_areas_layer_5,TEa5,82,165,150,28400,541,TEa
292,Left_Bed_nucleus_of_the_accessory_olfactory_tract,BA,160,208,232,50200,278,sAMY
296,Left_Anterior_cingulate_area_ventral_part_layer_2/3,ACAv2/3,131,198,100,19700,48,ACAv
298,Left_Magnocellular_nucleus,MA,162,208,176,52200,835,PALv
301,Left_stria_terminalis,st,204,204,204,112600,768,mfbc
303,Left_Basolateral_amygdalar_nucleus_anterior_part,BLAa,81,255,83,47200,295,BLA
304,Left_Prelimbic_area_layer_2/3,PL2/3,121,163,95,20400,972,PL
305,Left_Primary_visual_area_layer_6b,VISp6b,107,173,178,16800,385,VISp
307,Left_Magnocellular_reticular_nucleus,MARN,255,212,194,94200,370,MY-mot
310,Left_Septofimbrial_nucleus,SF,147,239,232,49800,275,LSX
311,Left_Basolateral_amygdalar_nucleus_posterior_part,BLAp,82,255,83,47300,295,BLA
313,Left_Midbrain,MB,255,200,255,78500,343,BS
314,Left_Agranular_insular_area_posterior_part_layer_6a,AIp6a,87,180,124,24400,111,AIp
318,Left_Supragenual_nucleus,SG,255,174,84,87800,987,P-mot
319,Left_Basomedial_amygdalar_nucleus,BMA,80,255,84,47500,703,CTXsp
320,Left_Primary_motor_area_Layer_1,MOp1,45,161,79,1600,985,MOp
321,Left_Subgeniculate_nucleus,SubG,255,135,133,69500,1014,GENv
325,Left_Suprageniculate_nucleus,SGN,255,131,130,66100,138,LAT
326,Left_superior_cerebelar_peduncles,scp,204,204,204,104500,752,cbp
328,Left_Agranular_insular_area_dorsal_part_layer_2/3,AId2/3,95,171,97,23600,104,AId
330,Left_Retrosplenial_area_dorsal_part_layer_6b,RSPd6b,104,170,142,26500,879,RSPd
332,Left_Accessory_supraoptic_group,ASO,255,76,62,70300,157,PVZ
333,Left_Septohippocampal_nucleus,SH,139,239,232,49900,275,LSX
335,Left_Perirhinal_area_layer_6a,PERI6a,79,166,164,28800,922,PERI
338,Left_Subfornical_organ,SFO,255,77,80,73800,141,PVR
341,Left_supramammillary_decussation,smd,204,204,204,113600,824,mfsbshy
342,Left_Substantia_innominata,SI,152,208,176,52100,835,PALv
344,Left_Agranular_insular_area_posterior_part_layer_5,AIp5,59,165,106,24300,111,AIp
347,Left_Subparaventricular_zone,SBPV,255,77,80,73600,141,PVR
350,Left_Subceruleus_nucleus,SLC,255,172,114,89200,1117,P-sat
351,Left_Bed_nuclei_of_the_stria_terminalis,BST,160,190,160,52900,809,PALc
354,Left_Medulla,MY,255,160,176,89400,1065,HB
355,Left_Agranular_insular_area_posterior_part_layer_6b,AIp6b,108,186,137,24500,111,AIp
356,Left_Preparasubthalamic_nucleus,PST,255,79,80,77600,290,LZ
358,Left_Sublaterodorsal_nucleus,SLD,255,172,113,89300,1117,P-sat
362,Left_Mediodorsal_nucleus_of_thalamus,MD,255,144,163,67300,444,MED
363,Left_Prelimbic_area_layer_5,PL5,140,178,114,20500,972,PL
364,Left_Parasubthalamic_nucleus,PSTN,255,79,80,77700,290,LZ
366,Left_Submedial_nucleus_of_the_thalamus,SMT,255,144,161,67700,444,MED
368,Left_Perirhinal_area_layer_6b,PERI6b,99,171,173,28900,922,PERI
372,Left_Infracerebellar_nucleus,ICB,255,212,219,93400,370,MY-mot
374,Left_Substantia_nigra_compact_part,SNc,255,158,248,83800,348,MBsta
377,Left_Posterolateral_visual_area_layer_6a,VISpl6a,110,205,226,17400,425,VISpl
380,Left_cuneate_fascicle,cuf,204,204,204,102700,514,dc
381,Left_Substantia_nigra_reticular_part,SNr,255,178,247,80000,323,MBmot
382,Left_Field_CA1,CA1,122,255,121,37700,375,CA
388,Left_gracile_fascicle,grf,204,204,204,102800,514,dc
390,Left_Supraoptic_nucleus,SO,255,76,60,70200,157,PVZ
393,Left_Posterolateral_visual_area_layer_6b,VISpl6b,107,205,236,17500,425,VISpl
397,Left_ventral_tegmental_decussation,vtd,204,204,204,109800,863,rust
401,Left_Anteromedial_visual_area_layer_4,VISam4,0,143,152,15100,394,VISam
403,Left_Medial_amygdalar_nucleus,MEA,176,208,248,50800,278,sAMY
412,Left_Orbital_area_lateral_part_layer_2/3,ORBl2/3,63,148,87,21600,723,ORBl
413,Left_vestibular_nerve,vVIIIn,204,204,204,100600,933,VIIIn
414,Left_Subparafascicular_nucleus_magnocellular_part,SPFm,255,111,165,64600,406,SPF
421,Left_Lateral_visual_area_layer_1,VISl1,0,159,158,15600,409,VISl
422,Left_Subparafascicular_nucleus_parvicellular_part,SPFp,255,110,165,64700,406,SPF
423,Left_Field_CA2,CA2,122,255,120,38200,375,CA
427,Left_Ectorhinal_area/Layer_2/3,ECT2/3,19,147,133,29500,895,ECT
429,Left_Spinal_nucleus_of_the_trigeminal_caudal_part,SPVC,255,176,183,91300,386,MY-sen
430,Left_Retrosplenial_area_ventral_part_layer_2/3,RSPv2/3,61,149,104,26900,886,RSPv
433,Left_Anteromedial_visual_area_layer_5,VISam5,0,158,163,15200,394,VISam
434,Left_Retrosplenial_area_dorsal_part_layer_2/3,RSPd2/3,34,145,99,26100,879,RSPd
436,Left_columns_of_the_fornix,fx,204,204,204,111900,737,fxpo
437,Left_Spinal_nucleus_of_the_trigeminal_interpolar_part,SPVI,255,176,184,91400,386,MY-sen
440,Left_Orbital_area_lateral_part_layer_6a,ORBl6a,107,168,116,21800,723,ORBl
441,Left_Anteromedial_visual_area_layer_6b,VISam6b,98,172,181,15400,394,VISam
442,Left_Retrosplenial_area_dorsal_part_layer_1,RSPd1,0,139,89,26000,879,RSPd
443,Left_dorsal_hippocampal_commissure,dhc,204,204,204,112100,618,hc
445,Left_Spinal_nucleus_of_the_trigeminal_oral_part,SPVO,255,176,182,91500,386,MY-sen
448,Left_Orbital_area_lateral_part_layer_1,ORBl1,37,143,69,21500,723,ORBl
449,Left_ventral_hippocampal_commissure,vhc,204,204,204,112200,618,hc
450,Left_Primary_somatosensory_area_upper_limb_layer_1,SSp-ul1,0,174,103,6400,369,SSp-ul
451,Left_Basolateral_amygdalar_nucleus_ventral_part,BLAv,73,255,83,47400,295,BLA
452,Left_Median_preoptic_nucleus,MEPO,255,77,86,72800,141,PVR
456,Left_Posterior_auditory_area_layer_6b,AUDpo6b,136,199,195,12600,1027,AUDpo
460,Left_Midbrain_trigeminal_nucleus,MEV,255,152,254,79800,339,MBsen
461,Left_Primary_somatosensory_area_trunk_layer_6b,SSp-tr6b,156,216,218,7600,361,SSp-tr
463,Left_Field_CA3,CA3,122,255,119,38700,375,CA
466,Left_alveus,alv,204,204,204,111200,1099,fxs
469,Left_posteromedial_visual_area_layer_6b,VISpm6b,119,194,202,18200,533,VISpm
470,Left_Subthalamic_nucleus,STN,255,79,85,77900,290,LZ
475,Left_Medial_geniculate_complex,MG,255,112,162,65100,1008,GENd
477,Left_Striatum,STR,160,200,232,48000,623,CNU
478,Left_Primary_somatosensory_area_lower_limb_layer_6a,SSp-ll6a,119,202,188,5400,337,SSp-ll
482,Left_brachium_of_the_inferior_colliculus,bic,204,204,204,101300,948,cVIIIn
483,Left_Medial_habenula,MH,255,134,144,69700,958,EPI
484,Left_Orbital_area_medial_part_layer_1,ORBm1,102,155,63,22100,731,ORBm
488,Left_Orbital_area_lateral_part_layer_6b,ORBl6b,128,175,128,21900,723,ORBl
491,Left_Medial_mammillary_nucleus,MM,255,78,84,74800,331,MBO
494,Left_Superior_colliculus_motor_related_intermediate_gray_layer_sublayer_a,SCig-a,255,178,248,81200,10,SCig
501,Left_posteromedial_visual_area_layer_4,VISpm4,0,179,200,17900,533,VISpm
502,Left_Subiculum,SUB,128,255,151,45500,822,RHP
503,Left_Superior_colliculus_motor_related_intermediate_gray_layer_sublayer_b,SCig-b,255,178,248,81300,10,SCig
507,Left_Main_olfactory_bulb,MOB,160,255,171,30000,698,OLF
510,Left_Primary_somatosensory_area_lower_limb_layer_6b,SSp-ll6b,145,211,198,5500,337,SSp-ll
511,Left_Superior_colliculus_motor_related_intermediate_gray_layer_sublayer_c,SCig-c,255,178,248,81400,10,SCig
515,Left_Medial_preoptic_nucleus,MPN,255,78,87,75600,467,MEZ_
520,Left_Ventral_auditory_area_layer_6a,AUDv6a,116,190,160,13200,1018,AUDv
523,Left_Medial_preoptic_area,MPO,255,77,87,72900,141,PVR
525,Left_Supramammillary_nucleus,SUM_,255,78,85,75000,331,MBO
527,Left_Dorsal_auditory_area_layer_1,AUDd1,0,157,125,10700,1011,AUDd
530,Left_dorsal_fornix,df,204,204,204,111300,1099,fxs
531,Left_Medial_pretectal_area,MPT,255,176,248,82100,1100,PRT
534,Left_Supratrigeminal_nucleus,SUT,255,174,82,88000,987,P-mot
536,Left_Central_amygdalar_nucleus,CEA,171,208,248,50300,278,sAMY
540,Left_Perirhinal_area_layer_1,PERI1,0,141,133,29000,922,PERI
542,Left_Retrosplenial_area_ventral_part_layer_1,RSPv1,0,138,79,26700,886,RSPv
549,Left_Thalamus,TH,255,112,128,63500,1129,IB
556,Left_Infralimbic_area_layer_2/3,ILA2/3,50,146,93,8700,44,ILA
558,Left_Primary_somatosensory_area_nose_layer_1,SSp-n1,0,175,115,3600,353,SSp-n
564,Left_Medial_septal_nucleus,MS,118,224,176,52500,904,MSC
565,Left_posteromedial_visual_area_layer_5,VISpm5,63,184,201,18000,533,VISpm
566,Left_Postpiriform_transition_area,TR,160,255,166,36900,698,OLF
573,Left_Lateral_visual_area_layer_4,VISl4,0,161,173,15800,409,VISl
574,Left_Tegmental_reticular_nucleus,TRN,255,174,81,88100,987,P-mot
575,Left_Central_lateral_nucleus_of_the_thalamus,CL,255,135,132,68700,51,ILM
576,Left_Accessory_facial_motor_nucleus,ACVII,255,212,235,92600,370,MY-mot
577,Left_Primary_somatosensory_area_upper_limb_layer_4,SSp-ul4,79,188,133,6600,369,SSp-ul
580,Left_Nucleus_of_the_brachium_of_the_inferior_colliculus,NB,255,152,253,79500,339,MBsen
581,Left_Triangular_nucleus_of_septum,TRS,128,224,176,52700,826,PALm
582,Left_Orbital_area_medial_part_layer_2/3,ORBm2/3,131,166,95,22300,731,ORBm
583,Left_Claustrum,CLA,80,255,85,46600,703,CTXsp
587,Left_Nucleus_of_Darkschewitsch,ND,255,146,255,81800,795,PAG
588,Left_Anterior_cingulate_area_ventral_part_layer_1,ACAv1,109,191,85,19600,48,ACAv
589,Left_Taenia_tecta,TT,160,255,160,31800,698,OLF
590,Left_Retrosplenial_area_ventral_part_layer_6a,RSPv6a,96,166,129,27100,886,RSPv
591,Left_Central_linear_nucleus_raph,CLI,255,158,253,84400,165,RAmb
593,Left_Primary_visual_area_layer_1,VISp1,0,147,153,16300,385,VISp
595,Left_fasciculus_retroflexus,fr,204,204,204,115200,1083,mfbse
596,Left_Diagonal_band_nucleus,NDB,138,224,176,52600,904,MSC
598,Left_Ventral_auditory_area_layer_6b,AUDv6b,127,193,168,13300,1018,AUDv
599,Left_Central_medial_nucleus_of_the_thalamus,CM,255,134,132,68500,51,ILM
600,Left_Dorsal_auditory_area_layer_2/3,AUDd2/3,0,163,137,10800,1011,AUDd
601,Left_Anterolateral_visual_area_layer_6a,VISal6a,105,193,212,14600,402,VISal
603,Left_fimbria,fi,204,204,204,111400,1099,fxs
604,Left_Nucleus_incertus,NI,255,172,116,88900,1117,P-sat
608,Left_Orbital_area_ventrolateral_part_layer_6a,ORBvl6a,97,166,116,23100,746,ORBvl
609,Left_Subparafascicular_area,SPA,255,128,177,64800,864,DORsm
610,Left_Retrosplenial_area_dorsal_part_layer_5,RSPd5,60,149,109,26300,879,RSPd
611,Left_habenular_commissure,hbc,204,204,204,115300,1083,mfbse
612,Left_Nucleus_of_the_lateral_lemniscus,NLL,255,170,97,84900,1132,P-sen
613,Left_Lateral_visual_area_layer_5,VISl5,0,176,184,15900,409,VISl
614,Left_Tuberal_nucleus,TU,255,79,86,78000,290,LZ
616,Left_Cuneiform_nucleus,CUN,255,178,254,82600,323,MBmot
620,Left_Orbital_area_medial_part_layer_5,ORBm5,150,181,113,22400,731,ORBm
621,Left_Motor_nucleus_of_trigeminal,V,255,174,104,88200,987,P-mot
622,Left_Retrosplenial_area_ventral_part_layer_6b,RSPv6b,105,169,135,27200,886,RSPv
625,Left_Primary_somatosensory_area_upper_limb_layer_5,SSp-ul5,103,194,147,6700,369,SSp-ul
628,Left_Nucleus_of_the_optic_tract,NOT,255,176,247,82200,1100,PRT
629,Left_Ventral_anterior-lateral_complex_of_the_thalamus,VAL,255,108,161,63800,637,VENT
630,Left_Orbital_area_lateral_part_layer_5,ORBl5,82,152,98,21700,723,ORBl
632,Left_Dentate_gyrus_granule_cell_layer,DG-sg,64,200,64,39600,726,DG
633,Left_inferior_colliculus_commissure,cic,204,204,204,101200,948,cVIIIn
634,Left_Nucleus_of_the_posterior_commissure,NPC,255,176,246,82300,1100,PRT
638,Left_Gustatory_areas_layer_6a,GU6a,152,208,152,9600,1057,GU
639,Left_Cortical_amygdalar_area_anterior_part,COAa,160,255,178,34700,631,COA
642,Left_Nucleus_of_the_trapezoid_body,NTB,255,176,181,90600,386,MY-sen
643,Left_Posterior_auditory_area_layer_2/3,AUDpo2/3,24,165,151,12200,1027,AUDpo
647,Left_Cortical_amygdalar_area_posterior_part,COAp,160,255,179,35100,631,COA
648,Left_Primary_motor_area_Layer_5,MOp5,94,172,111,1800,985,MOp
649,Left_Anterolateral_visual_area_layer_6b,VISal6b,103,193,221,14700,402,VISal
651,Left_Nucleus_of_the_solitary_tract,NTS,255,178,176,90700,386,MY-sen
653,Left_Abducens_nucleus,VI,255,212,225,92300,370,MY-mot
654,Left_Primary_somatosensory_area_nose_layer_4,SSp-n4,78,189,140,3800,353,SSp-n
656,Left_Secondary_motor_area_layer_1,MOs1,63,147,68,2200,993,MOs
657,Left_Primary_somatosensory_area_mouth_layer_2/3,SSp-m2/3,20,180,107,5800,345,SSp-m
658,Left_lateral_lemniscus,ll,204,204,204,101100,948,cVIIIn
661,Left_Facial_motor_nucleus,VII,255,212,234,92500,370,MY-mot
662,Left_Gustatory_areas_layer_6b,GU6b,175,218,179,9700,1057,GU
665,Left_lateral_olfactory_tract_body,lot,204,204,204,97900,21,lotg
667,Left_Frontal_pole_layer_2/3,FRP2/3,132,165,74,800,184,FRP
670,Left_Primary_somatosensory_area_trunk_layer_2/3,SSp-tr2/3,0,185,179,7200,361,SSp-tr
671,Left_Retrosplenial_area_lateral_agranular_part_layer_1,RSPagl1,0,139,100,25400,894,RSPagl
672,Left_Caudoputamen,CP,160,216,248,48200,485,STRd
673,Left_mammillary_peduncle,mp,204,204,204,114700,46,mfbsma
675,Left_Agranular_insular_area_ventral_part_layer_6a,AIv6a,153,207,137,25000,119,AIv
678,Left_Dorsal_auditory_area_layer_4,AUDd4,63,170,151,10900,1011,AUDd
679,Left_Superior_central_nucleus_raph,CS,255,172,119,88400,1117,P-sat
680,Left_Orbital_area_ventrolateral_part_layer_6b,ORBvl6b,117,172,128,23200,746,ORBvl
681,Left_mammillotegmental_tract,mtg,204,204,204,114600,46,mfbsma
685,Left_Ventral_medial_nucleus_of_the_thalamus,VM,255,108,162,63900,637,VENT
687,Left_Retrosplenial_area_ventral_part_layer_5,RSPv5,87,163,123,27000,886,RSPv
689,Left_Ventrolateral_preoptic_nucleus,VLPO,255,77,80,73900,141,PVR
690,Left_mammilothalmic_tract,mtt,204,204,204,114500,46,mfbsma
692,Left_Perirhinal_area_layer_5,PERI5,52,151,146,29100,922,PERI
693,Left_Ventromedial_hypothalamic_nucleus,VMH,255,78,91,76700,467,MEZ_
694,Left_Agranular_insular_area_ventral_part_layer_2/3,AIv2/3,107,192,110,24800,119,AIv
696,Left_Posterior_auditory_area_layer_1,AUDpo1,0,158,137,12100,1027,AUDpo
697,Left_medial_lemniscus,ml,204,204,204,103000,932,cett
698,Left_Olfactory_areas,OLF,144,255,144,29900,695,CTXpl
